392095,F-GIEV,FR,48.914299,1.678884,571,330,281,2,7000,LFPN,TNF,P68,1686299212,en-route
393322,F-GMZC,FR,37.339005,-7.711467,10668,186,794,0,7665,37VN,AFR37VN,AF1276,LFPG,CDG,GMMX,RAK,AFR,AF,A321,1686299212,en-route
393324,F-GMZE,FR,48.350922,1.218181,4953,40,690,-11.7,1000,37HV,AFR37HV,AF7401,LFBO,TLS,LFPG,CDG,AFR,AF,A321,1686299209,en-route
395141,F-GUKB,MX,46.32431,0.22877,411,123,270,0,0300,67,MOL67,MOL,G120,1686299089,en-route
398123,F-HAJD,FR,51.550945,-0.416012,0,95,0,0,5646,771E,VLJ771E,LFPB,LBG,EGWU,NHT,VLJ,C525,1686299134,landed
398175,FHALV,FR,44.74379,-3.858359,11887,193,681,0,0533,457J,VLJ457J,EGKB,BQH,LEMD,MAD,VLJ,C25M,1686299211,en-route
398495,F-HBEV,FR,43.721115,7.404851,9448,126,913,0,1000,35AT,CCM35AT,XK781,LFPO,ORY,LFKB,BIA,CCM,XK,A320,1686299212,en-route
398560,F-HBLA,FR,40.477684,-3.309943,3627,6,548,12.4,1421,49MV,AFR49MV,AF1001,LEMD,MAD,LFPG,CDG,AFR,AF,E190,1686299211,en-route
398562,F-HBLC,FR,52.133514,4.928513,11277,38,801,0,0644,29UL,AFR29UL,AF1762,LFPG,CDG,EKBI,BLL,AFR,AF,E190,1686299213,en-route
398564,F-HBLE,FR,52.223698,-0.051871,10363,329,861,0,0640,72SK,AFR72SK,AF1058,LFPG,CDG,EGNT,NCL,AFR,AF,E190,1686299213,en-route
398572,F-HBLS,FR,48.752438,2.442868,5067,239,692,2.3,7622,21YB,AFR21YB,AF1476,LFPG,CDG,LEBB,BIO,AFR,AF,E190,1686299212,en-route
398627,F-HBRH,FR,49.548203,5.910139,556,260,257,2.6,7000,86,RTO86,LFSN,ENC,RTO,C182,1686299208,en-route
398675,F-HBTV,FR,50.95372,-1.358111,0,59,0,0,5702,6TV,ASJ06TV,LSGG,GVA,EGHI,SOU,ASJ,6O,C25M,1686299213,landed
398699,F-HBUZ,FR,49.350262,-2.883405,11285,105,846,0,0505,301,DJT301,B0301,KEWR,EWR,LIMC,MXP,DJT,B0,A21N,1686299213,en-route
399625,F-HFRF,FR,48.323689,3.604022,4267,141,403,0,3421,162,ASR162,ASR,BE20,1686299212,en-route
399971,F-HGLR,FR,43.59156,5.270626,3048,320,257,0,1000,LFMQ,CTT,C182,1686299206,en-route
400432,G-LSAA,UK,52.712959,3.758344,11277,102,825,0,4716,6RY,EXS6RY,LS897,EGCC,MAN,LHBP,BUD,EXS,LS,B752,1686299213,en-route
400759,G-OBYK,DE,47.757797,12.271179,11277,138,922,0,4740,7BY,TOM7BY,BY2572,EGCC,MAN,LGKR,CFU,TUI,BY,B763,1686299212,en-route
400896,G-SAJC,UK,52.392033,-0.970241,6118,323,774,7.5,5217,52L,LOG52L,LM652,EGLL,LHR,EGAE,LDY,LOG,LM,E145,1686299213,en-route
400936,G-EUOA,UK,51.466686,-0.482292,0,180,18,0,1441,8K,SHT8K,BA1438,EGLL,LHR,EGPH,EDI,BAW,BA,A319,1686299212,en-route
400960,G-TTOE,UK,51.46875,-0.488242,0,90,1,0,7701,752B,BAW752B,BA752,EGLL,LHR,BSL,BAW,BA,A320,1686299213,landed
